book,house,character,text
Book_Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""You can speak Parseltongue, Harry,"" said Dumbledore calmly, ""because Lord Voldemort -- who is the last remaining ancestor of Salazar Slytherin -- can speak Parseltongue."
Book_Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"""The Sorting Hat could see Slytherin's power in me, and it --""  ""Put you in Gryffindor,"" said Dumbledore calmly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  `Exactly, ""said Dumbledore, beaming once more."
Book_Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," Godric Gryffindor   ""Only a true Gryffindor could have pulled that out of the hat, Harry,"" said Dumbledore simply."
Book_Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""Good evening, Lucius,"" said Dumbledore pleasantly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"   ""Well, you see, Lucius,"" said Dumbledore, smiling serenely, ""the other eleven governors contacted me today."
Book_Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  ""We have,"" said Dumbledore, with a smile."
Book_Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  ""The same person as last time, Lucius,"" said Dumbledore."
Book_Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""A clever plan,"" said Dumbledore in a level voice, still staring Mr. Malfoy straight in the eye."
Book_Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""Oh, no one will be able to do that,"" said Dumbledore, smiling at Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  ""Certainly, Harry,"" said Dumbledore calmly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"He cleared his throat and said, ""Professor Dumbledore, these boys have flouted the Decree for the Restriction of Underage Wizardry, caused serious damage to an old and valuable tree - surely acts of this nature -""  * 8i  ""It will be for Professor McGonagall to decide on these boys' punishments, Severus,"" said Dumbledore calmly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Ernie," ""All I saw,"" said Ernie stubbornly, though he was trembling as he spoke, ""was you speaking Parseltongue and chasing the snake toward Justin."
Book_Chamber_Of_Secrets,Gryffindor,Book_Ernie,"  ""It was a very near miss,"" said Ernie."
Book_Chamber_Of_Secrets,Hufflepuff,Book_Ernie,"  ""I've heard you hate those Muggles you live with,"" said Ernie swiftly."
Book_Chamber_Of_Secrets,Ravenclaw,Book_Ernie," ""That Draco Malfoy character,"" said Ernie, breaking off dead twigs, ""he seems very pleased about all this, doesn't he?"
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred,"  ""Tie that around the bars,"" said Fred, throwing the end of a rope to Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Don't worry,"" said Fred, ""and stand back."""
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred," ""A lot of wizards think it's a waste of time, knowing this sort of Muggle trick,"" said Fred, ""but we feel they're skills worth learning, even if they are a bit slow."""
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Very fishy,"" said Fred finally."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Well,"" said Fred, ""put it this way - house-elves have got powerful magic of their own, but they can't usually use it without their master's permission."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred,"  ""And when You-Know-Who disappeared,"" said Fred, craning around to look at Harry, ""Lucius Malfoy came back saying he'd never meant any of it."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Well, whoever owns him will be an old wizarding family, and they'll be rich,"" said Fred."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred,"  ""The owl Mum and Dad bought Percy when he was made prefect,"" said Fred from the front."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Now, we'll go upstairs really quietly,"" said Fred, ""and wait for Mum to call us for breakfast Then, Ron, you come bounding downstairs going, `Mum, look who turned up in the night!'"
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Ah, ""said Fred."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred,"- never, as long as I've lived - you wait until your father gets home, we never had trouble like this from Bill or Charlie or Percy -""  ""Perfect Percy,"" muttered Fred."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Blimey, I'm tired,"" yawned Fred, setting down his knife and fork at last."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred,"  ""Mum fancies him,"" said Fred, in a very audible whisper."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Pitiful,"" said Fred."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Wish I knew what he was up to,"" said Fred, frowning."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred,"""Floo powder's a lot quicker, dear, but goodness me, if you've never used it before -""  ""He'll be all right, Mum,"" said Fred."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred,"what Gilderoy Lockhart must've thought -""  ""He was pleased,"" said Fred."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred,"  ""So no pressure, Harry"" said Fred, winking at him."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred,"  ""Don't be thick,"" said Fred."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Oh, get out of the way, Percy,"" said Fred."
Book_Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Wouldn't dream of it,"" said Fred, who was looking like his birthday had come early."
Book_Chamber_Of_Secrets,Gryffindor,Book_George,"   ""Locked in the cupboard under the stairs, and I can't get out of this room -""  ""No problem,"" said George from the front passenger seat."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""So - we'll get your trunk - you grab anything you need from your room and hand it out to Ron,"" whispered George."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""Definitely dodgy"" agreed George."
Book_Chamber_Of_Secrets,Gryffindor,Book_George,"  Y.  ""I've heard Dad talking about him,"" said George."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""Yeah, Mum's always wishing we had a house-elf to do the ironing,"" said George."
Book_Chamber_Of_Secrets,Gryffindor,Book_George,"  ""Percy's been acting very oddly this summer,"" said George, frowning."
Book_Chamber_Of_Secrets,Gryffindor,Book_George,"  ""That's the main road,"" said George, peering down through the windshield."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""We're a little way outside the village,"" said George."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""Oh, dear,"" said George."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""Morning, Mum,"" said George, in what he clearly thought was a jaunty, winning voice."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""See, they're not too bright,"" said George, seizing five or six gnomes at once."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""That lot won't come cheap,"" said George, with a quick look at his parents."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""Dunno how Mum and Dad are going to afford all our school stuff this year,"" said George after a while."
Book_Chamber_Of_Secrets,Gryffindor,Book_George,"  ""I've got a question, Oliver,"" said George, who had woken with a start."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""And the Slytherins don't need a spy, Oliver,"" said George."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""Because they're here in person,"" said George, pointing."
Book_Chamber_Of_Secrets,Gryffindor,Book_George,"We've trained harder than they have, we've been flying in all weathers -"" (""Too true,"" muttered George Weasley."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""We need time out,"" said George, trying to signal to Wood and stop the Bludger breaking Harry's nose at the same time."
Book_Chamber_Of_Secrets,Gryffindor,Book_George,"  ""We were twenty feet above her, stopping the other Bludger from murdering Harry, Oliver,"" said George angrily."
Book_Chamber_Of_Secrets,Gryffindor,Book_George,"""Unbelievable flying, Harry,"" said George."
Book_Chamber_Of_Secrets,Gryffindor,Book_George,"  ""Yeah, he's off to the Chamber of Secrets for a cup of tea with his fanged servant,"" said George, chortling."
Book_Chamber_Of_Secrets,Gryffindor,Book_George," ""Definitely not,"" said George, sniggering."
Book_Chamber_Of_Secrets,Gryffindor,Book_Ginny,"  ""That's what I told Ginny,"" said Percy fiercely, ""but she still seems to think you're going to be expelled, I've never seen her so upset, crying her eyes out, you might think of her, all the first years are thoroughly overexcited by this business -""  ""You don't care about Ginny,"" said Ron, whose ears were now  *157*  reddening."
Book_Chamber_Of_Secrets,Gryffindor,Book_Ginny,"   ""Oh, that,"" said Ginny, giggling."
Book_Chamber_Of_Secrets,Gryffindor,Book_Ginny,"  ""It's that Ravenclaw prefect, Penelope Clearwater,"" said Ginny."
Book_Chamber_Of_Secrets,No Entry,Book_Ha," ""Maybe he's left,"" said Ha-rry, ""because he missed out on the Defense Against Dark Arts job again!"""
Book_Chamber_Of_Secrets,Slytherin,Book_Hannah,"  ""He always seems so nice, though,"" said Hannah uncertainly, ""and, well, he's the one who made You-Know-Who disappear."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""You've forgotten the magic word,"" said Harry irritably."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""All right,"" said Harry, ""all right."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""I'll be in my bedroom, making no noise and pretending I'm not there,"" said Harry tonelessly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""I'll be in my room, making no noise and pretending I'm not there,"" said Harry dully."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Well done,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Better not let your mum hear you talking about my school,"" said Harry coolly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""I'm trying to decide what would be the best spell to set it on fire,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Er - hello,"" said Harry nervously."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Th-thank you,"" said Harry, edging along the wall and sinking into his desk chair, next to Hedwig, who was asleep in her large cage."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Not that I'm not pleased to meet you,"" said Harry quickly, ""but, er, is there any particular reason you're here?"""
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Sit down,"" said Harry politely, pointing at the bed."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""You can't have met many decent wizards,"" said Harry, trying to cheer him up."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Sorry"" said Harry quickly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Well then, I can't think who else would have a chance of making horrible things happen at Hogwarts,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""I expect they've just been - wait a minute,"" said Harry, frowning."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""No,"" said Harry angrily."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"(""Just our nephew - very disturbed  meeting strangers upsets him, so we kept him upstairs	) He  shooed the shocked Masons back into the dining room, promised Harry he would flay him to within an inch of his life when the Ma sons had left, and handed him a mop."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""It's no good turning your beak up at it - that's all we've got,"" said Harry grimly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"He saw Dobby's face in the crowd and shouted out, asking for help, but Dobby called, ""Harry Potter is safe there, sir!"""
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"THE BURROW  Ron.l"" breathed Harry, creeping to the window and pushing it up so they could talk through the bars."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"""You know we're not supposed to do spells outside school -""  ""You should talk,"" said Harry, staring at the floating car."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""If the Dursleys wake up, I'm dead,"" said Harry as he tied the rope tightly around a bar and Fred revved up the car."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""I don't think he could,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Yes,"" said Harry and Ron together, instantly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""I don't know whether the Malfoys own a house-elf	said  Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""It's wonderful,"" said Harry happily, thinking of Privet Drive."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""I don't blame you, dear,"" she assured Harry, tipping eight or nine sausages onto his plate."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," * 41  ""You must speak clearly, dear,"" Mrs. Weasley told Harry as George dipped his hand into the flowerpot."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"""Skulkin' around Knockturn Alley, I dunno dodgy place, Harry - don' want no one ter see yeh down there -""  ""I realized that,"" said Harry, ducking as Hagrid made to brush him off again."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""As soon as I've found the Weasleys,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,""" Ron told Harry and Hermione in an undertone as they left Percy to it."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""I'll take Ginny and you two come right after us,"" Mrs. Weasley told Harry and Ron, grabbing Ginny's hand and setting off."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Come on,"" said Harry wearily, ""we'd better get up to the school ......"
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""So did I,"" said Harry, taking one, too."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Er -"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"There was a slight stiffness in the way she said ""Morning,"" which told Harry that she was still disapproving of the way they had arrived."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""No, I'm not,"" said Harry angrily, his fists clenching."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"""said Harry, who was trying to grab a pixie dancing out of reach with its tongue out."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""No,"" said Harry flatly, glancing around to check that the room was really deserted."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Yes,"" said Harry heavily, resigned to explaining the complicated rules of Quidditch."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""And the fourth ball -""  ""- is the Golden Snitch,"" said Harry, ""and it's very small, very fast, and difficult to catch."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Yes,"" said Harry as they left the castle and started across the dew- drenched grass."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Haven't even started,"" said Harry, looking jealously at the toast and marmalade Ron and Hermione had brought out of the Great Hall."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""He's in Gryffindor,"" said Harry quickly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""We'd better get him to Hagrid's, it's nearest,"" said Harry to Hermione, who nodded bravely, and the pair of them pulled Ron up by the arms."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Bet he didn't like that,"" said Harry, sitting up and rubbing his chin."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"""If yeh ask me, she wouldn' say no ter a signed -""  ""Oh, shut up,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""I'd swap anytime,"" said Harry hollowly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""No,"" said Harry frantically."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""I know,"" said Harry, lying back in his four-poster and staring at the canopy above him."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Hello, Nick,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""So do you,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"   ""Oh - yes,"" said Harry, who was obviously supposed to agree."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""No,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"He's been cleaning all morning, and if he sees you dripping mud all over the place -""   ""Right,"" said Harry, backing away from the accusing stare of Mrs. Norris, but not quickly enough."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Oh,"" said Harry, not sure whether he should look sorry or happy about this."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""No,"" said Harry quickly, ""I'll come -""  ""My dear boy!"
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Of - of course,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""A promise is a promise,"" Hermione reminded Harry bossily."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Hello, Peeves,"" said Harry cautiously."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"But I mean to say - look at the fellow -""  ""I think,"" said Harry hurriedly, at a meaningful look from Nick, ""Nick's very - frightening and - er -""  ""Ha!"""
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""I know it's weird,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Midnight,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""I always knew Salazar Slytherin was a twisted old loony,"" Ron told Harry and Hermione as they fought their way through the teeming corridors at the end of the lesson to drop off their bags before dinner."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Hullo, Colin,"" said Harry automatically."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""That I'm Slytherin's heir, I expect,"" said Harry, his stomach dropping another inch or so as he suddenly remembered the way Justin Finch- Fletchley had run away from him at lunchtime."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Can't hurt to have a poke around,"" said Harry, dropping his bag and getting to his hands and knees so that he could crawl along, searching for clues."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""No,"" said Harry, ""have you, Ron?"
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Nothing,"" said Harry quickly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"""Clues, you know -""  Percy swelled in a manner that reminded Harry forcefully of Mrs. Weasley."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Look at his family,"" said Harry, closing his books, too."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Listen,"" said Harry as she came nearer and nearer, ""with you two flying around me all the time the only way I'm going to catch the Snitch is if it flies up my sleeve."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""No - don't -"" said Harry weakly, but Lockhart was twirling his wand and a second later had directed it straight at Harry's arm."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""No,"" said Harry, getting into bed."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"""We can add that to the list of questions we'll ask him when we've taken the Polyjuice Potion,"" said Harry, sinking back onto his pillows."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"""Dobby warned and warned Harry Potter."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Fine,"" said Harry, squeezing into the stall."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""There's something else,"" said Harry, watching Hermione tearing bundles of knotgrass and throwing them into the potion."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Knowing Snape, something foul,"" said Harry as the potion frothed and bubbled."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""You wish,"" said Harry out of the corner of his mouth."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""I know,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"""And now the whole school's going to think you're his great-great-great-great-grandson or something -""  ""But I'm not,"" said Harry, with a panic he couldn't quite explain."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Hello,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""I wanted to tell him what really happened with that snake at the Dueling Club,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""It's not possible to live with the Dursleys and not hate them,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Canceled,"" said Harry, getting up."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Professor,"" said Harry at once, ""I swear I didn't -""  ""This is out of my hands, Potter,"" said Professor McGonagall curtly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""No,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""At this rate, we'll be the only ones left,"" Ron told Harry and Hermione."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Hello,"" said Harry happily as she landed on his bed."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Oh, all right, all right,"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Hang on,"" said Harry as Ron and Hermione reached for their glasses."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"""  ""We'd better get going,"" said Harry, loosening the watch that was cutting into Goyle's thick wrist."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Er -"" said Harry."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry,"  ""Ha, ha,"" said Harry bleakly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""It's okay, Hermione,"" said Harry quickly."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Nothing,"" said Harry gloomily."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""Let's go and see,"" said Harry, and holding their robes over their ankles they stepped through the great wash of water to the door bearing its OUT OF ORDER sign, ignored it as always, and entered."
Book_Chamber_Of_Secrets,Gryffindor,Book_Harry," ""But it can't hurt you if someone throws something at you,"" said Harry, reasonably."
