Movie,Character,House,Dialogue
Sorcerer_stone,Movie_Dudley,No Entry," Mum, mummy!"
Sorcerer_stone,Movie_Dudley,No Entry," Mum, help! Help me!"
Sorcerer_stone,Movie_Dudley,No Entry," {Sees Harrys letter. He runs and grabs it} Dad, look! Harry's got a letter!!"
Sorcerer_stone,Movie_Dudley,No Entry, AHH! Make it stop! Please make it stop! {He jumps on Petunias lap}
Sorcerer_stone,Movie_Dudley,No Entry, What is it? Please tell me what's happening!
Sorcerer_stone,Movie_Dudley,No Entry," Daddy's gone mad, hasnt he?!"
Sorcerer_stone,Movie_Dudley,No Entry, I-I-I'm not Harry.
Sorcerer_stone,Movie_Dudley,No Entry, {whimpers}
Sorcerer_stone,Movie_Dudley,No Entry, Ahh!
Sorcerer_stone,Movie_Dumbledore,Gryffindor, I should have known that you would be here...Professor McGonagall.
Sorcerer_stone,Movie_Dumbledore,Gryffindor," I'm afraid so, Professor. The good, and the bad."
Sorcerer_stone,Movie_Dumbledore,Gryffindor, Hagrid is bringing him.
Sorcerer_stone,Movie_Dumbledore,Gryffindor," No problems, I trust, Hagrid?"
Sorcerer_stone,Movie_Dumbledore,Gryffindor, The only family he has.
Sorcerer_stone,Movie_Dumbledore,Gryffindor, Exactly. He's better off growing up away from all that. Until he is ready.
Sorcerer_stone,Movie_Dumbledore,Gryffindor," There, there, Hagrid. It's not really good-bye, after all."
Sorcerer_stone,Movie_Dumbledore,Gryffindor, Good luck...Harry Potter.
Sorcerer_stone,Movie_Dumbledore,Gryffindor," I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch {signals to ragged old man with a cat with red eyes} has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you."
Sorcerer_stone,Movie_Dumbledore,Gryffindor, Let the feast...begin.
Sorcerer_stone,Movie_Dumbledore,Gryffindor," SILLLLLEEENNNNCEEEEE! {Everyone stops.} Everyone will please, not panic. Now, Prefects will lead their houses back to the dormitories. Teachers will follow me to the dungeons."
Sorcerer_stone,Movie_Dumbledore,Gryffindor," Back again, Harry? {Harry turns around and stands up.} I see that you, like so many before you, have discovered the delights of the Mirror of Erised. I trust by now you realize what it does. Let me give you a clue. The happiest man on earth would look into the mirror and see only himself, exactly as he is."
Sorcerer_stone,Movie_Dumbledore,Gryffindor," Yes...and no. It shows us nothing more or less than the deepest, most desperate desires of our hearts. Now you, who have never known your family, you see them standing beside you. But remember this, Harry. This mirror gives us neither knowledge or truth. Men have wasted away in front of it, even gone mad. That is why tomorrow it will be moved to a new home, and I must ask you not to go looking for it again. It does not do to dwell on dreams, Harry, and forget to live. {Harry looks back at the mirror.}"
Sorcerer_stone,Movie_Dumbledore,Gryffindor," Good afternoon, Harry. Ah. Tokens from your admirers?"
Sorcerer_stone,Movie_Dumbledore,Gryffindor," What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. {Both smile.} Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs."
Sorcerer_stone,Movie_Dumbledore,Gryffindor, Fine. They're both just fine.
Sorcerer_stone,Movie_Dumbledore,Gryffindor," Relax, dear boy. The stone has been destroyed. My friend Nicholas and I had a little chat and agreed it was best all around."
Sorcerer_stone,Movie_Dumbledore,Gryffindor," {sits on the bed.} He has enough Elixir to set his affairs in order. But yes, he will die."
Sorcerer_stone,Movie_Dumbledore,Gryffindor," Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. That is one of my more brilliant ideas. And between you and me thats saying something. {Smile both.}"
Sorcerer_stone,Movie_Dumbledore,Gryffindor," Ah, I'm afraid there are ways in which he can return. Harry, do you know why Professor Quirrell couldn't bear to have you touch him? {Harry shakes his head.} It was because of your mother. She sacrificed herself for you, and that kind of act leaves a mark. {Harry touches his scar.} No, no, this kind of mark cannot be seen. It lives in your very skin."
Sorcerer_stone,Movie_Dumbledore,Gryffindor," Love, Harry, love. {Pats Harry's head and stands up.} Ah. Bertie Bott's Every Flavour Beans. I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. But I think I could be safe with a nice toffee...{takes brown bean and eats it.} Mm. Alas. Earwax."
Sorcerer_stone,Movie_Dumbledore,Gryffindor," Another year gone. And now, as I understand it, the house cup needs awarding, and the points stand thus. In fourth place, Gryffindor with 312 points. {Clapping. Harry and Hermione hide their heads.} Third place, Hufflepuff, with 352 points. {Clapping.} In second place, Ravenclaw, with 426 points. {Clapping.} And in first place, with 472 points, Slytherin House."
Sorcerer_stone,Movie_Dumbledore,Gryffindor," Yes, yes, well done Slytherin, well done Slytherin. However, recent events must be taken into account. And I have a few last minute points to award. {The Gryffindor students look up.} To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. {Applause.}"
Sorcerer_stone,Movie_Dumbledore,Gryffindor," Second, to Mr. Ronald Weasley, for the best played game of chess {Ron looks at Harry and mouths, 'Me?' Harry nods, and mouths, 'You!'} that Hogwarts has seen these many years...50 points. {Applause} And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. {Immense cheering.}"
Sorcerer_stone,Movie_Dumbledore,Gryffindor," And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. I award 10 points to Neville Longbottom."
Sorcerer_stone,Movie_Dumbledore,Gryffindor," Assuming that my calculations are correct, I believe that a change of direction is in order. {Claps. The green banners change to Gryffindor red and yellow.} Gryffindor wins the House Cup!"
Sorcerer_stone,Movie_Filch,No Entry," Anyone here, my sweet? {meow} Come on. {exit.}"
Sorcerer_stone,Movie_Filch,No Entry," Oh, Professors. I found this, in the Restricted Section. It's still hot. That means there's a student out of bed."
Sorcerer_stone,Movie_Filch,No Entry," A pity they let the old punishments die. There was a time detention would find you hanging by your thumbs in the dungeons. God, I miss the screaming. {Draco gulps, and Hermione rushes by.} You'll be serving detention with Hagrid tonight. He's got a little job to do inside the dark forest. {Hagrid appears with a crossbow. He sniffles.} A sorry lot this, Hagrid. Oh, good God, man, you're not still on about that bloody dragon, are you?"
Sorcerer_stone,Movie_Filch,No Entry," Oh, for Gods sake, pull yourself together, man. You're going into the forest, after all. Got to have your wits about you."
Sorcerer_stone,Movie_Filch,No Entry," There's more than werewolves in those trees, lad. You can be sure of that. {Draco looks frightened.} Nighty-night. {Exit.}"
Sorcerer_stone,Movie_Firenze,No Entry," Harry Potter, you must leave. You are known to many creatures here. The forest is not safe at this time. Especially for you."
Sorcerer_stone,Movie_Firenze,No Entry," A monstrous creature. It is a terrible crime to slay a unicorn. Drinking the blood of a unicorn will keep you alive even if you are an inch from death. But at a terrible price. You have slain something so pure that the moment the blood touches your lips, you will have a half-life. A cursed life."
Sorcerer_stone,Movie_Firenze,No Entry, Can you think of no one?
Sorcerer_stone,Movie_Firenze,No Entry, Do you know what is hidden in the school at this very moment?
Sorcerer_stone,Movie_Firenze,No Entry," Harry Potter, this is where I leave you. You're safe now. Good luck."
Sorcerer_stone,Movie_Flint,Slytherin, Give me that! {he grabs a beaters bat from one and whacks a bludger right at Oliver. It hits Oliver in the stomach and he falls to the ground.}
Sorcerer_stone,Movie_Flint,Slytherin, {to other members} Take that side!
Sorcerer_stone,Movie_Flitwick,Ravenclaw," One of a wizard's most rudimentary skills is levitation the ability to make objects fly. Uh, do you all have your feathers? {Hermione raises hers.} Good. Now, uh, don't forget the nice wrist movement we've been practicing, hmm? The swish and flick. Everyone. {All} The swish and flick. Good. And enunciate. Wingardium Leviosa. Off you go then."
Sorcerer_stone,Movie_Flitwick,Ravenclaw," Oh, well done! See here, everyone! Ms. Granger's done it! Oh, splendid!"
Sorcerer_stone,Movie_Flitwick,Ravenclaw, Whooaaa! Ooh.
Sorcerer_stone,Movie_Fred,Gryffindor," Honestly, woman, you call yourself our mother!"
Sorcerer_stone,Movie_Fred,Gryffindor," I'm only joking. I am Fred. {He runs through the wall, and is followed by his twin brother.}"
Sorcerer_stone,Movie_Fred,Gryffindor," Hey, well done, Harry, Wood's just told us!"
Sorcerer_stone,Movie_Fred,Gryffindor," Brutal. But no one's died in years. Someone will vanish occasionally... {They break off from Harry and Ron, who walk across a courtyard."
Sorcerer_stone,Movie_George,Gryffindor," He's not Fred, I am!"
Sorcerer_stone,Movie_George,Gryffindor," Our job is to make sure that you don't get bloodied up too bad. Can't make any promises, of course. Rough game, Quidditch."
Sorcerer_stone,Movie_George,Gryffindor, But they'll turn up in a month or two!!
Sorcerer_stone,Movie_Griphook,No Entry," Vault 687. Lamp, please. {Hagrid hands him the lamp and he walks to the vault} Key please. {Hagrid hands him the key and he unlocks it}"
Sorcerer_stone,Movie_Griphook,No Entry, Vault 713.
Sorcerer_stone,Movie_Griphook,No Entry, Stand back. {Slides finger down the door. Clank. Clank. The vault opens to expose a small white stone package. Hagrid hurries in and scoops it up. The eerie light it was shining with disappears.}
Sorcerer_stone,Movie_Hagrid,Gryffindor," Professor Dumbledore, Sir. Professor McGonagall."
Sorcerer_stone,Movie_Hagrid,Gryffindor," No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go."
Sorcerer_stone,Movie_Hagrid,Gryffindor, Sorry 'bout that. {He puts the door back up}
Sorcerer_stone,Movie_Hagrid,Gryffindor," Dry up, Dursley, you great prune. {The gun fires}"
Sorcerer_stone,Movie_Hagrid,Gryffindor," {sees Dudley} Mind, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself. {Hands Harry the cake} Words and all. Heh."
Sorcerer_stone,Movie_Hagrid,Gryffindor," It's not every day that your young man turns eleven, now is it?"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts."
Sorcerer_stone,Movie_Hagrid,Gryffindor," No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?"
Sorcerer_stone,Movie_Hagrid,Gryffindor," You're a wizard, Harry."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Well, Just Harry, did you ever make anything happen? Anything you couldn't explain when you were angry or scared? {Harry softens his expression} Ah."
Sorcerer_stone,Movie_Hagrid,Gryffindor, A car crash? A car crash kill James and Lily Potter?
Sorcerer_stone,Movie_Hagrid,Gryffindor, It's an outrage! It's a scandal!
Sorcerer_stone,Movie_Hagrid,Gryffindor," Oh, and I suppose a great Muggle like yourself's going to stop him, are you?"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Non magic folk. This boy's had his name down ever since he was born! He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the greatest headmaster Hogwarts' has ever seen Albus Dumbledore."
Sorcerer_stone,Movie_Hagrid,Gryffindor, {whips out umbrella and points it at Vernon} Never insult Albus Dumbledore in front of me.
Sorcerer_stone,Movie_Hagrid,Gryffindor," Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic."
Sorcerer_stone,Movie_Hagrid,Gryffindor," {checks a clock} Ooh, we're a bit behind schedule. Best be off. Unless you'd rather stay, of course. Hmm? {Leaves}"
Sorcerer_stone,Movie_Hagrid,Gryffindor, If you know where to go.
Sorcerer_stone,Movie_Hagrid,Gryffindor," No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Yes, well, must be going now. Lots to buy. Heh."
Sorcerer_stone,Movie_Hagrid,Gryffindor," See, Harry, you're famous!"
Sorcerer_stone,Movie_Hagrid,Gryffindor," I'm not exactly sure I'm the right person to tell you that, Harry. {Taps the brick wall clockwise with his umbrella. The blocks shift and open up to reveal a hidden, busy street.}"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Well there's your money, Harry. Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts."
Sorcerer_stone,Movie_Hagrid,Gryffindor," They're goblins, Harry. Clever as they come goblins but not the most friendly of beasts. Best stick close to me. {Harry sticks to him.} {Hagrid clears his throat as they approach a counter with a goblin in it.} Mr. Harry Potter wishes to make a withdrawal."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Oh. Wait a minute. Got it here somewhere. Hah. Here's the little devil. Oh, and there's something else as well. Professor Dumbledore gave me this. It's about you-know-what in vault you-know-which. {Hands Goblin letter wrapped in string.}"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Didn't think your mum and dad would leave you with nothing, now didja?"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Can't tell you, Harry. It's Hogwarts business. Very secret."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Best not mention this to anyone, Harry."
Sorcerer_stone,Movie_Hagrid,Gryffindor," A wand? Well, you'll want Ollivanders. No place better. Run along there, but wait. I just got one more thing I got to do. Won't be long."
Sorcerer_stone,Movie_Hagrid,Gryffindor, Harry! Harry! Happy birthday! {Has a snowy owl in a cage which hoots.}
Sorcerer_stone,Movie_Hagrid,Gryffindor," You all right, Harry? You seem very quiet."
Sorcerer_stone,Movie_Hagrid,Gryffindor," {Sighs and pushes bowl away} First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago there was one wizard who went as bad as you can go. And his name was V-...his name was V-..."
Sorcerer_stone,Movie_Hagrid,Gryffindor," No, I can't spell it. All right. His name was Voldemort."
Sorcerer_stone,Movie_Hagrid,Gryffindor, Shh!!
Sorcerer_stone,Movie_Hagrid,Gryffindor," It was dark times, Harry, dark times. Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em. {Harrys mother, LILY, screams as she is killed by Voldemorts wand} Nobody...not one. Except you. {close-up of baby Harry.}"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Yes. That ain't no ordinary cut on your forehead, Harry. A mark like that only comes from being touched by a curse...and an evil curse at that."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Some say he died. Codswallop in my opinion. Nope, I reckon he's out there, still, too tired to go on. But one thing's absolutely certain. Something about you stumped him that night. That's why you're famous, Harry. That's why everbody knows your name. You're the boy who lived."
Sorcerer_stone,Movie_Hagrid,Gryffindor," What're you looking at? {Looks at watch} Blimey, is that the time?? Sorry, Harry, I'm gonna have to leave you. Dumbledore'll be wanting his...well, he'll be wanting to see me. Now, uh, your train leaves in 10 minutes. Here's your ticket. Stick to it, Harry that's very important. Stick to your ticket."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Right, then! First years! This way, please! Come on, now, don't be shy! Come on now, hurry up!"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Hello, Harry."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Right then. This way to the boats! Come on, now, follow me."
Sorcerer_stone,Movie_Hagrid,Gryffindor, Well done!
Sorcerer_stone,Movie_Hagrid,Gryffindor, What's going on with Harry's broomstick?
Sorcerer_stone,Movie_Hagrid,Gryffindor, Go go go!
Sorcerer_stone,Movie_Hagrid,Gryffindor, Looks like he's gonna be sick!
Sorcerer_stone,Movie_Hagrid,Gryffindor, Yes!
Sorcerer_stone,Movie_Hagrid,Gryffindor, Nonsense. Why would Snape put a curse on Harry's broom?
Sorcerer_stone,Movie_Hagrid,Gryffindor, Who told you 'bout Fluffy?
Sorcerer_stone,Movie_Hagrid,Gryffindor," Well, of course he's got a name. He's mine. I bought him off an Irish feller I met down at the pub last year. Then I lent him to Dumbledore to guard the"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Shouldn'ta said that. Don't ask any more questions. That's top secret, that is."
Sorcerer_stone,Movie_Hagrid,Gryffindor, Codswallop. Professor Snape is a Hogwarts teacher.
Sorcerer_stone,Movie_Hagrid,Gryffindor," {sighs} Now, you listen to me, all three of you. You're meddlin' in things that ought not to be meddled in. It's dangerous. What that dog is guarding is strictly between Professor Dumbledore and Nicholas Flamel."
Sorcerer_stone,Movie_Hagrid,Gryffindor, I shouldn't have said that. I should not have said that. I should not have said that. {Exit.}
Sorcerer_stone,Movie_Hagrid,Gryffindor," {clad in oven mitts and an apron} Oh, hello. Sorry, don't wish to be rude, but I'm in no fit state to entertain today. {Closes door.}"
Sorcerer_stone,Movie_Hagrid,Gryffindor, Oh.
Sorcerer_stone,Movie_Hagrid,Gryffindor," Snape? Blimey, Harry, you're not still on about him, are you?"
Sorcerer_stone,Movie_Hagrid,Gryffindor, Snape is one of the teachers protecting the Stone! He's not about to steal it!
Sorcerer_stone,Movie_Hagrid,Gryffindor," You heard. Right. Come on, now, I'm a bit preoccupied today."
Sorcerer_stone,Movie_Hagrid,Gryffindor," That's right. Waste of bloody time, if you ask me."
Sorcerer_stone,Movie_Hagrid,Gryffindor, That? It's a ... its um...
Sorcerer_stone,Movie_Hagrid,Gryffindor," I won it. Off a stranger I met down at a pub. Seemed quite glad to be rid off it, as a matter of fact."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Isn't he beautiful? Oh. Bless him, look. He knows his mummy. Hehe. Hallo, Norbert. {The dragon squeaks as it looks at Hagrid.}"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Yeah, well, he's got to have a name, doesn't he?"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Don't you, Norbert? {raises fingers back and forth across Norberts chin} Dededede."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Ohh! Oooh, ooh, ooh, well...he'll have to be trained up a bit, of course. {Norbert hiccups. Hagrid sees someone looking in the window.} Who's that? {The person scampers away.}"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Oh, dear."
Sorcerer_stone,Movie_Hagrid,Gryffindor, {sniffs and sighs} Norbert's gone. Dumbledore sent him off to Romania to live in a colony.
Sorcerer_stone,Movie_Hagrid,Gryffindor," Yeah, but what if he don't like Romania? {Filch rolls eyes.} What if the other dragons are mean to him? He's only a baby, after all."
Sorcerer_stone,Movie_Hagrid,Gryffindor, Right. Let's go.
Sorcerer_stone,Movie_Hagrid,Gryffindor," What we're here for. See that? That's unicorn's blood, that is. I found one dead a few weeks ago. Now, this one's been injured bad by something. {Harry suddenly sees a large cloaked figure walking through the trees. He looks at Hagrid.} So, it's our job to find the poor beast. Ron, Hermione, you'll come with me."
Sorcerer_stone,Movie_Hagrid,Gryffindor," And Harry, you'll go with Malfoy. {Draco grimaces, and Harry nods.}"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Fine. Just so you know, he's a bloody coward. {Fang whines.}"
Sorcerer_stone,Movie_Hagrid,Gryffindor," Hello there, Firenze. I see you've met our young Mr. Potter. You all right there, Harry? {Harry nods}"
Sorcerer_stone,Movie_Hagrid,Gryffindor, I don't know. I never saw his face. He kept his hood up.
Sorcerer_stone,Movie_Hagrid,Gryffindor," Well, he wanted to know what sort of creatures I looked after. I told him. I said, ""After Fluffy, a dragon's gonna be no problem."""
Sorcerer_stone,Movie_Hagrid,Gryffindor," Well, of course he was interested in Fluffy! How often do you come across a three headed dog, even if you're in the trade? But I told him. I said, ""The trick with any beast is to know how to calm him. Take Fluffy, for example, just play him a bit of music and he falls straight to sleep."""
Sorcerer_stone,Movie_Hagrid,Gryffindor, I shouldn't have told you that. {The three take off.} Where you going?! Wait!
Sorcerer_stone,Movie_Hagrid,Gryffindor, Yes! {grins}
Sorcerer_stone,Movie_Hagrid,Gryffindor," Come on now, hurry up. You'll be late. Train's leaving. Go on. Go on. Come on. Hurry up."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Thought you were leaving without saying good-bye, didja? {Hagrid takes a red album out of his coat pocket and hands it to Harry.} This is for you."
Sorcerer_stone,Movie_Hagrid,Gryffindor," Oh. Go on...on with you. {Harry lets go.} Oh, listen, Harry, if that dolt of a cousin of yours, Dudley, gives you any grief, you could always, um, threaten him with a nice pair of ears to go with that tail of his."
Sorcerer_stone,Movie_Hagrid,Gryffindor," I do. But your cousin don't, do he? Eh? {chuckle} Off you go."
Sorcerer_stone,Movie_Harry,Gryffindor," Yes, Aunt Petunia."
Sorcerer_stone,Movie_Harry,Gryffindor," Yes, Uncle Vernon."
Sorcerer_stone,Movie_Harry,Gryffindor, He's asleep!
Sorcerer_stone,Movie_Harry,Gryffindor," Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you."
Sorcerer_stone,Movie_Harry,Gryffindor," Can you...hear me? {The snake nods} It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often? {The snake shakes its head} You're from Burma, aren't you? Was it nice there, do you miss your family? {The snake turns its head in the direction of a sign which says, Bred in Captivity} I see. That's me as well. I never knew my parents, either."
Sorcerer_stone,Movie_Harry,Gryffindor, Anytime.
Sorcerer_stone,Movie_Harry,Gryffindor, {Grins and giggles}
Sorcerer_stone,Movie_Harry,Gryffindor, Ow!
Sorcerer_stone,Movie_Harry,Gryffindor, I swear I don't know! One minute the glass was there and then it was gone! It was like magic!
Sorcerer_stone,Movie_Harry,Gryffindor," Hey, give it back! It's mine!"
Sorcerer_stone,Movie_Harry,Gryffindor," {Hands cookie to Vernon} Because there's no post on Sunday? Ah, right you are, Harry. No post on Sunday. Hah! No blasted letters today. No, sir. {Harry sees a shadow outside the window. Outside, millions of owls are perched.} No sir, not one blasted, miserable---"
Sorcerer_stone,Movie_Harry,Gryffindor, Get off! Ahh!
Sorcerer_stone,Movie_Harry,Gryffindor, They're my letters! Let go of me!
Sorcerer_stone,Movie_Harry,Gryffindor," Make a wish, Harry. {Blows}"
Sorcerer_stone,Movie_Harry,Gryffindor," Thank you! {Opens cake, which reads Happee Birdae Harry.}"
Sorcerer_stone,Movie_Harry,Gryffindor," {puts cake down} Excuse me, who are you?"
Sorcerer_stone,Movie_Harry,Gryffindor," Sorry, no."
Sorcerer_stone,Movie_Harry,Gryffindor, Learnt what?
Sorcerer_stone,Movie_Harry,Gryffindor, I-I'm a what?
Sorcerer_stone,Movie_Harry,Gryffindor," A wizard. And a thumping good one at that, I'd wager. Once you train up a little."
Sorcerer_stone,Movie_Harry,Gryffindor," No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry."
Sorcerer_stone,Movie_Harry,Gryffindor," Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry!"
Sorcerer_stone,Movie_Harry,Gryffindor, You knew?? You knew all along and you never told me?
Sorcerer_stone,Movie_Harry,Gryffindor, Blown up? You told me my parents died in a car crash!
Sorcerer_stone,Movie_Harry,Gryffindor, Muggle?
Sorcerer_stone,Movie_Harry,Gryffindor, {laughs}
Sorcerer_stone,Movie_Harry,Gryffindor, {Nods} Okay.
Sorcerer_stone,Movie_Harry,Gryffindor," All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Can we find all this in London?"
Sorcerer_stone,Movie_Harry,Gryffindor," Oh, nice to meet you. {Puts out hand. Quirrell refuses}"
Sorcerer_stone,Movie_Harry,Gryffindor, Good-bye.
Sorcerer_stone,Movie_Harry,Gryffindor," But why am I famous, Hagrid? All those people back there, how is it they know who I am?"
Sorcerer_stone,Movie_Harry,Gryffindor," But, Hagrid, how am I to pay for all this? I haven't any money."
Sorcerer_stone,Movie_Harry,Gryffindor," Uh, Hagrid, what exactly are those things?"
Sorcerer_stone,Movie_Harry,Gryffindor," What's in there, Hagrid?"
Sorcerer_stone,Movie_Harry,Gryffindor, I still need...a wand.
Sorcerer_stone,Movie_Harry,Gryffindor, {Softly} Hello? Hello?
Sorcerer_stone,Movie_Harry,Gryffindor, Oh! {waves. All the shelves come crashing down. Harry jumps and hurriedly puts the wand back on the counter.}
Sorcerer_stone,Movie_Harry,Gryffindor," Sorry, but what's curious?"
Sorcerer_stone,Movie_Harry,Gryffindor, And...who owned that wand?
Sorcerer_stone,Movie_Harry,Gryffindor, Wow.
Sorcerer_stone,Movie_Harry,Gryffindor," He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do."
Sorcerer_stone,Movie_Harry,Gryffindor, Maybe if you wrote it down?
Sorcerer_stone,Movie_Harry,Gryffindor, Voldemort?
Sorcerer_stone,Movie_Harry,Gryffindor, Me? Voldemort tried to kill...me?
Sorcerer_stone,Movie_Harry,Gryffindor, What happened to Vo-...to You-Know-Who?
Sorcerer_stone,Movie_Harry,Gryffindor," Platform 9 ¾? But Hagrid, there must be a mistake. This says Platform 9 ¾. There's no such thing...is there? {Harry looks up and Hagrid has vanished.}"
Sorcerer_stone,Movie_Harry,Gryffindor," Excuse me, excuse me."
Sorcerer_stone,Movie_Harry,Gryffindor," Excuse me, Sir. Can you tell me where I might find Platform 9 ¾?"
